case_id;activity;timestamp;resource;currency_pair;option_type;booking_system;client_type;trading_strategy;strike_price;premium;notional_amount;delta;gamma;vega;theta;risk_score;limit_usage
Case_100;Best Execution Validation;2024-11-12 12:06:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Allocation;2024-11-12 12:18:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_100;Trade Transparency Assessment;2024-11-12 14:53:10.397557;Client Desk D;USD/CHF;Vanilla Call;Summit;Hedge Fund;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Initiated;2024-10-30 19:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Market Data Validation;2024-10-30 19:33:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Volatility Surface Analysis;2024-10-30 20:04:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Quote Requested;2024-10-30 20:46:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Quote Provided;2024-10-30 20:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Premium Calculation;2024-10-30 21:21:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Matching;2024-10-30 21:38:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Allocation;2024-10-30 22:14:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Greeks Calculation;2024-10-30 22:20:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;-0.46;0.1;23848.98;-536.6;;
Case_1000;Collateral Management;2024-10-30 23:09:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Credit Check;2024-10-30 23:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Execution;2024-10-30 23:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;1.0236;0.0059;35758306.0;;;;;;
Case_1000;Trade Confirmation;2024-10-31 00:42:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Settlement Instructions;2024-10-31 00:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Final Settlement;2024-10-31 00:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Premium Settlement;2024-10-31 02:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Validation;2024-10-31 04:17:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Strategy Validation;2024-10-31 04:42:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Client Limit Validation;2024-10-31 07:48:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;ISDA Master Agreement Check;2024-10-31 07:57:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;KYC Refresh Check;2024-10-31 08:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Initial Margin Calculation;2024-10-31 08:33:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Trade Reconciliation;2024-10-31 09:58:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Risk Assessment;2024-10-31 12:01:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;4.36;25%
Case_1000;Position Reconciliation;2024-10-31 12:24:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;CSA Verification;2024-10-31 12:54:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
Case_1000;Exercise Decision;2024-10-31 14:18:10.488523;Hedge Desk C;EUR/GBP;Risk Reversal;Summit;Corporate;Vol Surface Trading;;;;;;;;;
